ID,Name,Address,Point.Of.Contact,Email,Phone.Number,Description,WHO_CREATED,WHEN_CREATED,WHO_UPDATED,WHEN_UPDATED
72,"Omineca-Peace, Fort St. John","Suite 400 - 10003 110th Avenue, Fort St. John",Cameron Eggleston,Cameron.Eggleston@gov.bc.ca,(250) 787-3217,,EMS,2010-02-02 10:55,EMS,2-2-2010 10:57:05 AM
PW,Paradox Water & Wastewater Treatment Co.,"Box 1302 Station Main, Kamloops",Tyrone McCabe,paradoxwater@shaw.ca,250-320-3329,,RDGIBSON,2010-03-11 9:38,,
MF,Ministry of Environment Lab,"4300 North Road, Victoria",Shannon Berch,Shannon.Berch@gov.bc.ca,(250) 952-4122,,RDGIBSON,2011-02-22 11:52,RDGIBSON,2-22-2011 2:43:14 PM
FLNRO,"Ministry of Forests, Lands and Natural","4th Floor - 780 Blanshard Street, Victoria",Joanna Runnells,Joanna.Runnells@gov.bc.ca,250 356-5209,,RDGIBSON,2013-10-15 2:26,RDGIBSON,10-15-2013 2:43:20 PM
BV,Bulkley Valley Research Centre,"3883 Third Avenue, Smithers",Kirsteen Laing,kirsteen.laing@bvcentre.ca,(250) 847-2827,,RDGIBSON,2014-01-30 4:42,RDGIBSON,9-24-2015 1:55:37 PM
SRC,Sona Resources Corp,"103 - 145 15th Street West, North Vancouver",John Thompson,jpthompson@sonaresources.com,1-604-684-6677,,RDGIBSON,2015-06-30 2:22,,
KEL,Keystone Environmental Ltd. (Burnaby),"320 4400 Dominion Street, Burnaby",Jason Christensen,jchristensen@keystoneenvironmental.ca,(604) 430-0671,,RDGIBSON,2015-09-17 3:38,RDGIBSON,9-17-2015 3:38:49 PM
BCF,BC Conservation Foundation (BCCF),"#1-7217 Lantzville Road, Lantzville",Jeramy Damborg,jdamborg@bccf.com,(250) 390-2525,,RDGIBSON,2016-06-30 3:27,RDGIBSON,7-4-2016 8:55:25 AM
AE,Associated Environmental Consultants Inc,"#200 - 2800 29th Street, Vernon",Brenda Miskimmin,miskimmisnb@ae.ca,250-545-3672,,JAUSTIN,2016-07-12 1:41,RDGIBSON,7-19-2017 4:46:32 PM
73,"Omineca-Peace, Prince George, FLNRO","499 George St, Prince George",Jun Yin,jun.yin@gov.bc.ca,778-693-3015,,RRENTON,2016-08-23 11:22,,
FWF,Freshwater Fisheries,"101 80 Regatta Landing, Victoria",Kirstin Gale,Kirstin.gale@gofishbc.com,(250) 414-4217,,RRENTON,2017-04-24 8:16,,
GHD,GHD Limited,"10271 Shellbridge Way, Richmond",James Reid,james.a.reid@ghd.com,(604) 214-0510,,JKROGH,2017-09-19 9:17,,
CRD,Capital Regional District,"625 Fisgard St, Victoria, BC",Glenn Harris,gharris@crd.bc.ca,250-360-3090,,EMS,2017-10-24 10:45,,
SYL,SYLVIS Environmental Services,"427 Seventh Street, New Westminster",Mike Van Ham,mvanham@sylvis.com,6047779788x105,,RDGIBSON,2018-07-10 2:52,,
LEPS,Langley Enviro. Partners Society,"201-4839 221 St., Langley",Pina Viola,water@leps.bc.ca,604-546-0340,,KATFRASE,2019-07-30 9:42,KATFRASE,7-30-2019 10:09:07 AM
AEL,ANCOR ENVIRONMENTAL LTD.,", Surrey",Steve Horvath,steve.horvath@telus.net,604 535-4832,,RDGIBSON,2020-02-12 11:18,,
GES,Goode Environmental Services Ltd,"3786 Belgrave Road, Victoria",Sheena Goode-Jensen BSc.,sheena@goode-enviro.com,250 812-4795,,RDGIBSON,2020-08-06 1:13,,
MEM,Ministry of Energy and Mines,"Abandoned Mines Branch, Victoria",Anika Bergen,Anika.Bergen@gov.bc.ca,236-478-2502,,RDGIBSON,2021-01-25 1:29,RDGIBSON,1-25-2021 1:30:09 PM
FN,Fort Nelson First Nations,"RR 1, Mile 295 Alaska Highway, Fort Nelson",Marilyn Norby,fieldcoordinator@fnnation.ca,250-774-6313,,RDGIBSON,2021-02-10 9:00,RDGIBSON,2-10-2021 9:55:14 AM
ALK,ALS Environmental ? Kamloops,"2B-1445 McGill Rd, Kamloops",Amanda Lampreau,amanda.lampreau@alsglobal.com,1 250 372 3678,,RDGIBSON,2021-10-06 2:52,,
NAL,Northern Analytical Lab Services,"Research Laboratory Building (#4-234), Prince George",Ann Duong,nals@unbc.ca,250-960-5713,,RDGIBSON,2021-10-13 4:25,,
EPS,E.P.S. Bioassay Lab,,,,,,EMS,1996-04-12 9:10,,
NPT,Northwood Pulp and Timber,"Pulp Mill Stores, Prince George",Sandra Morrison,,(250)962-3436,,EMS,1996-04-12 9:10,UMULLER,9-30-1997 1:28:40 PM
ATR,Aqua Technical Research Ltd,,,,,,EMS,1996-04-12 9:10,,
WTL,Wellington Laboratories,,,,,,EMS,1996-04-12 9:10,,
DOL,Danusia Dolecki,"1158 Forge Walk, Vancouver",,dolecki@zoology.ubc.ca,(604)738-1548,,UMULLER,2002-07-08 1:18,UMULLER,7-8-2002 1:21:46 PM
EDGE,Edge Analytical Laboratories,"1620 S Walnut St, Burlington",Lawrence J Henderson,ljh@edgeanalytical.com,360-757-1400,,KATFRASE,2019-07-30 9:51,,
KAS,Kimberley Analytical Services,"Cominco Ltd. Sullivan, Kimberley",Gerry Ogilvie,,(250)427-8442,,EMS,1996-04-12 9:10,UMULLER,10-2-1997 3:01:35 PM
BCBC,BCBC,"201-32555 Simon Avenue, Abbotsford",Doug Gosling,DGosling@bcbc.bc.ca,(604)870-5008,,UMULLER,2002-05-06 10:23,,
PEP,P.L.,,,,,,NPEPPIN,1996-06-20 11:51,UMULLER,2-18-2002 12:49:46 PM
PCR,Petro-Canada - Port Moody Refinery,"1155 Glenayre Dr., Port Moody",Ken Mak,,(250)931-9320,,EMS,1996-04-12 9:10,UMULLER,9-30-1997 1:36:52 PM
60,Skeena,"3726 Alfred Avenue, Bag 5000, Smithers",,,(250)847-7260,,EMS,1996-04-12 9:10,UMULLER,6-16-1998 2:37:27 PM
ALC,Alcan Analytical Lab,"No. I Smeltersite Rd., Kititmat",Frank Burton,,(250)639-8312,,EMS,1996-04-12 9:10,UMULLER,9-30-1997 8:08:44 AM
FE,Federal,,,,,,EMS,1996-04-12 9:10,UMULLER,6-16-1998 2:39:21 PM
