"ID","NAME","Location ID","Location Name","LATITUDE","LONGITUDE","Comments","First Sample","Last Sample","Samples","Results"
"475","MWMT SITES","E260496","MCBRIDE CREEK 2005","54.097490","127.452800","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","8/29/2005","4/25/2025 11:26:00 AM","55","5348"
"475","MWMT SITES","E272549","MORICE RIVER AT MORICE WEST BRIDGE","54.190750","127.363640","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","7/22/2008 2:35:00 PM","10/17/2024 12:05:00 PM","90","8964"
"475","MWMT SITES","E272551","GOSNELL CREEK @ MORICE WEST FSR BRIDGE","54.215370","127.394150","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","7/22/2008 12:15:00 PM","10/17/2024 10:45:00 AM","38","3953"
"475","MWMT SITES","E272554","CRYSTAL CREEK","54.197520","127.450900","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","7/22/2008 1:00:00 PM","10/17/2024 11:30:00 AM","38","3710"
"475","MWMT SITES","E272556","CUTTHROAT CREEK U/S CUTTHROAT FSR BRIDGE","54.008750","127.481020","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","7/22/2008 4:45:00 PM","11/12/2024 10:45:00 AM","59","5665"
"475","MWMT SITES","E272557","NANIKA RIVER @ CUTTHROAT FSR BRIDGE","54.047330","127.427320","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","7/22/2008 5:20:00 PM","4/25/2025 1:47:00 PM","61","5922"
"475","MWMT SITES","E272563","SHEA CREEK @ GOSNELL FSR BRIDGE","54.238640","127.518540","Morice Watershed Monitoring Trust sites for QA Created by Lisa Torunski on 2025-04-04","7/22/2008 11:35:00 AM","10/17/2024 10:06:00 AM","41","3997"
"472","BBY6945","E311649","BT3","49.266500","122.934500"," Created by Timothy Gray on 2025-03-06","6/5/2018 10:40:00 AM","5/16/2025 12:15:00 PM","171","513"
"472","BBY6945","E311650","BT5","49.267000","122.937400"," Created by Timothy Gray on 2025-03-06","6/5/2018","5/16/2025 12:20:00 PM","317","908"
"472","BBY6945","E311729","FIRST DOWNSTREAM AVAILABLE SPAWNING HABITAT","49.264522","122.938643"," Created by Timothy Gray on 2025-03-06","6/5/2018 11:25:00 AM","5/16/2025 12:40:00 PM","183","553"
"471","KOKSILAH RIVER 2024","0123981","KOKSILAH RIVER AT HWY #1","48.756200","123.676500"," Created by Rosie Barlak on 2025-02-06","10/13/1971","4/16/2025 7:55:00 AM","1048","14510"
"471","KOKSILAH RIVER 2024","E206976","KOKSILAH RIVER AT KOKSILAH RD","48.729067","123.671478"," Created by Rosie Barlak on 2025-02-06","6/2/1987 10:45:00 AM","11/28/2022 9:54:00 AM","270","3956"
"471","KOKSILAH RIVER 2024","E207425","KOKSILAH RIVER AT PORT RENFREW ROAD","48.642500","123.738300"," Created by Rosie Barlak on 2025-02-06","2/18/1988 11:30:00 AM","4/16/2025 8:45:00 AM","272","3971"
"471","KOKSILAH RIVER 2024","E207426","PATROLAS CREEK AT HILLBANK ROAD","48.719483","123.647347"," Created by Rosie Barlak on 2025-02-06","2/18/1988 11:55:00 AM","4/16/2025 9:45:00 AM","29","899"
"471","KOKSILAH RIVER 2024","E207427","KELVIN CREEK AT KOKSILAH ROAD","48.748800","123.695300"," Created by Rosie Barlak on 2025-02-06","2/18/1988 12:50:00 PM","4/16/2025 11:42:00 AM","155","2940"
"471","KOKSILAH RIVER 2024","E207433","KOKSILAH RIVER D/S OF KELVIN CREEK","48.750500","123.690300"," Created by Rosie Barlak on 2025-02-06","4/6/1988 10:00:00 AM","11/21/2017 11:12:00 AM","213","2823"
"471","KOKSILAH RIVER 2024","E230098","PATROLAS CREEK AT MOSS ROAD","48.724500","123.659300"," Created by Rosie Barlak on 2025-02-06","1/14/1998 11:00:00 AM","11/28/2022 9:37:00 AM","60","680"
"471","KOKSILAH RIVER 2024","E230099","GLENORA CREEK AT DOUPE ROAD","48.745800","123.716800"," Created by Rosie Barlak on 2025-02-06","1/14/1998 1:20:00 PM","11/28/2022 10:57:00 AM","58","620"
"471","KOKSILAH RIVER 2024","E234128","HOWIE CREEK AT KOKSILAH ROAD","48.731200","123.685100"," Created by Rosie Barlak on 2025-02-06","10/2/1998","11/28/2022 10:27:00 AM","48","637"
"471","KOKSILAH RIVER 2024","E291189","DITCH ACROSS FROM BRIGHT ANGEL PARK","48.737742","123.677661"," Created by Rosie Barlak on 2025-02-06","10/24/2012 10:47:00 AM","11/21/2017 10:20:00 AM","12","78"
"471","KOKSILAH RIVER 2024","E295429","KOKSILAH RIVER D/S BRIGHT ANGEL PARK","48.736783","123.678789"," Created by Rosie Barlak on 2025-02-06","11/5/2013 1:15:00 PM","11/28/2022 10:10:00 AM","28","533"
"471","KOKSILAH RIVER 2024","E331431","KOKSILAH RIVER U/S SUSPENSION BRIDGE BRIGHT ANGEL PARK","48.736450","123.678410"," Created by Rosie Barlak on 2025-02-06","6/29/2023 2:50:00 PM","4/16/2025 10:50:00 AM","6","559"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400187","TELKWA R AT VILLAGE","54.695000","127.053300","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","3/20/1974 8:30:00 AM","3/15/2009 11:05:00 AM","120","4944"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400203","MORICE R AT BRIDGE NEAR HOUSTON","54.375600","126.748600","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","9/11/1972 3:00:00 PM","3/8/1988 10:30:00 AM","92","3172"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400295","BULKLEY R. D/S OF HOUSTON STP OUTFALL","54.393600","126.672500","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","7/10/1974 1:35:00 PM","10/2/2012 11:50:00 AM","442","1757"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400296","BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE","54.396700","126.709200","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","7/10/1974 1:00:00 PM","8/13/2018 12:00:00 PM","100","2948"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400297","BULKLEY RIVER U/S HOUSTON STP","54.400600","126.667500","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","7/10/1974 1:45:00 PM","10/2/2012 3:00:00 PM","230","1645"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400434","BULKLEY R UPSTREAM FROM SMITHERS SEWAGE","54.799400","127.157500","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","6/25/1974 11:45:00 AM","9/26/2012 3:30:00 PM","87","599"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0400435","BULKLEY R. IDZ AT SMITHERS","54.808100","127.166100","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","6/25/1974 11:40:00 AM","9/26/2012 1:10:00 PM","95","781"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","0920088","BULKLEY R AT QUICK","54.617800","126.896700","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","8/1/1966","10/15/1990 2:20:00 PM","339","4795"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","E103595","SMITHERS SEWAGE TREATMENT PLANT","54.806400","127.163100","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","7/31/1989 9:10:00 AM","6/18/2014 2:45:00 PM","213","726"
"470","2025 BULKLEY RIVER WQO ATTAINMENT","E103798","HOUSTON SEWAGE PE00287 TO BULKLEY RIVER","54.395000","126.670000","2025 Bulkley River WQO Attainment program sites to sample and collect 5in30 wq data in Aug/Sept 2025 summer low flows Created by Lisa Torunski on 2025-01-21","7/31/1989 2:05:00 PM","6/19/2014 2:20:00 PM","1515","7233"
"469","2025 BURRARD INLET SED SITES","0300076","ENGLISH BAY CENTRE","49.283900","123.182500","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/2/1989 11:00:00 AM","3/10/2020 10:10:00 AM","119","995"
"469","2025 BURRARD INLET SED SITES","0300080","INDIAN ARM AT CABLE CROSSING","49.331100","122.927200","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/4/1989 12:30:00 PM","3/11/2020 12:38:00 PM","122","1006"
"469","2025 BURRARD INLET SED SITES","E207698","PACIFIC COAST # 11 75 METERS NORTHEAST","49.288600","122.861100","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/17/1988 12:00:00 PM","3/9/2020 10:55:00 AM","108","1142"
"469","2025 BURRARD INLET SED SITES","E207813","COAL HARBOUR - SOUTH SHORE NEAR BAYSHORE HOTEL","49.294500","123.130500","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/3/1989 12:00:00 PM","3/9/2020 2:05:00 PM","144","1594"
"469","2025 BURRARD INLET SED SITES","E207814","FALSE CREEK EAST END","49.273400","123.105100","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/2/1989 12:10:00 PM","3/10/2020 1:30:00 PM","159","1928"
"469","2025 BURRARD INLET SED SITES","E207815","FALSE CREEK BETWEEN GRANVILLE AND CAMBIE","49.269100","123.124600","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/2/1989 11:35:00 AM","3/10/2020 11:50:00 AM","121","1180"
"469","2025 BURRARD INLET SED SITES","E207816","VANCOUVER HARBOUR VANCOUVER WHARVES","49.309400","123.113000","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/3/1989 12:45:00 PM","3/11/2020 10:30:00 AM","145","1673"
"469","2025 BURRARD INLET SED SITES","E207817","VANCOUVER HARBOUR OFF BURRARD DRY DOCK","49.305600","123.077500","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/3/1989 1:20:00 PM","3/11/2020 10:58:00 AM","25","306"
"469","2025 BURRARD INLET SED SITES","E207818","VANCOUVER HARBOUR CLARK DRIVE","49.284700","123.079300","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/3/1989 11:00:00 AM","3/9/2020 12:41:00 PM","147","1935"
"469","2025 BURRARD INLET SED SITES","E207819","VANCOUVER HARBOUR LOCH KATRINE BANK","49.299100","123.077600","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/3/1989 12:01:00 AM","3/9/2020 2:40:00 PM","113","942"
"469","2025 BURRARD INLET SED SITES","E207820","SECOND NARROWS HOOKER CHEMICAL","49.297300","123.013000","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/4/1989 10:30:00 AM","2/5/2009 11:30:00 AM","88","882"
"469","2025 BURRARD INLET SED SITES","E207821","SECOND NARROWS CHEVRON","49.289300","122.961800","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/4/1989 11:00:00 AM","3/9/2020 11:45:00 AM","120","1481"
"469","2025 BURRARD INLET SED SITES","E207822","VANCOUVER HARBOUR SHELLBURN","49.292100","123.004300","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/4/1989 11:45:00 AM","2/25/2009 11:50:00 AM","79","768"
"469","2025 BURRARD INLET SED SITES","E207823","PORT MOODY IOCO","49.300400","122.883800","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","5/4/1989 1:27:00 PM","3/9/2020 11:29:00 AM","127","1421"
"469","2025 BURRARD INLET SED SITES","E253273","BEDWELL BAY","49.321000","122.912400","2025 BURRARD INLET SED Sampling Locations. 16 sites from 2020 plus up to an additional 4 sites in 2025
 Created by Lisa Torunski on 2025-01-16","8/28/2003 12:45:00 PM","3/11/2020 2:57:00 PM","7","233"
