"EMS.Result.Unit","PARM_CD","parameter_name","Analysis.Method","Sample.Unit.Short.Name","Sample.Unit.Modifier","AQS.Name","name_in_aqs","cas_in_aqs","Analysis.Method_in_AQS"
"%T/cm","UVTR","UV Transmittance 254nm","XM14","(app.)","","UV Transmittance 254nm (app.)",1,"",1
"AU/cm","UV02","UV Absorbance 254nm","XM14","(app.)","","UV Absorbance 254nm (app.)",1,"",1
"mg/L","P015","Propazine","E752","(fl. conc.)","","Propazine (fl. conc.)",1,"139-40-2",0
"mg/L","M033","Myclobutanil","E752","(fl. conc.)","","Myclobutanil (fl. conc.)",1,"88671-89-0",0
"mg/L","TRIBE","CAS RN: 101200-48-0 Tribenuron-methyl","E752","(fl. conc.)","","CAS RN: 101200-48-0 Tribenuron-methyl (fl. conc.)",0,"",0
"mg/L","FLUD","Fludioxonil","E752","(fl. conc.)","","Fludioxonil (fl. conc.)",1,"",0
"mg/L","PYCS","Pyraclostrobin","E752","(fl. conc.)","","Pyraclostrobin (fl. conc.)",1,"175013-18-0",0
"mg/L","SE","Selenium species, Other (as Se)","EC540","(fl. conc.)","","Selenium species, Other (as Se) (fl. conc.)",0,"",0
"mg/L","D079","Deltamethring","E752","(fl. conc.)","","Deltamethring (fl. conc.)",1,"",0
"mg/L","Q100","Quizalofop-ethyl","E752","(fl. conc.)","","Quizalofop-ethyl (fl. conc.)",1,"76578-14-8",0
"mg/L","B003","Benomyl","E752","(fl. conc.)","","Benomyl (fl. conc.)",0,"",0
"mg/L","C084","Carboxin","E752","(fl. conc.)","","Carboxin (fl. conc.)",1,"5234-68-4",0
"mg/L","BOSC","Boscalid","E752","(fl. conc.)","","Boscalid (fl. conc.)",1,"188425-85-6",0
"mg/L","M005","Metolachlor","E752","(fl. conc.)","","Metolachlor (fl. conc.)",1,"51218-45-2",0
"mg/L","M006","Metribuzin","E752","(fl. conc.)","","Metribuzin (fl. conc.)",1,"21087-64-9",0
"mg/L","P046","Propanil","E752","(fl. conc.)","","Propanil (fl. conc.)",1,"709-98-8",0
"mg/L","DIOM","Dimethoate + Omethoate (as Dimethoate)","E752","(fl. conc.)","","Dimethoate + Omethoate (as Dimethoate) (fl. conc.)",0,"",0
"mg/L","CYNZ","Cyanazine","E752","(fl. conc.)","","Cyanazine (fl. conc.)",1,"21725-46-2",0
"mg/L","ADDP","Atrazine-desthyl-desisopropyl","E752","(fl. conc.)","","Atrazine-desthyl-desisopropyl (fl. conc.)",1,"3397-62-4",0
"mg/L","T082","Triallate","E752","(fl. conc.)","","Triallate (fl. conc.)",1,"2303-17-5",0
"mg/L","THM-","Trihalomethanes","P016","(fl. conc.)","","Trihalomethanes (fl. conc.)",1,"",1
"mg/L","A015","De-ethyl Atrazine","E752","(fl. conc.)","","De-ethyl Atrazine (fl. conc.)",1,"6190-65-4",0
"mg/L","SEO3","selenite SeO3(-2)","E540","(fl. conc.)","","selenite SeO3(-2) (fl. conc.)",1,"14124-67-5",1
"mg/L","M001","Malathion","E752","(fl. conc.)","","Malathion (fl. conc.)",1,"121-75-5",0
"mg/L","TEME","Temephos","E752","(fl. conc.)","","Temephos (fl. conc.)",1,"3383-96-8",0
"mg/L","C001","Carbaryl","E752","(fl. conc.)","","Carbaryl (fl. conc.)",1,"63-25-2",0
"mg/L","F101","Fenoxapropethyl","E752","(fl. conc.)","","Fenoxapropethyl (fl. conc.)",1,"",0
"mg/L","ATMT","Atrazine + metabolites; Total","E752","(fl. conc.)","","Atrazine + metabolites; Total (fl. conc.)",1,"1912-24-9, 6190-65-4,1007-28-9",0
"mg/L","ATDP","Atrazine-desisopropyl","E752","(fl. conc.)","","Atrazine-desisopropyl (fl. conc.)",1,"1007-28-9",0
"mg/L","T081","Terbutryn","E752","(fl. conc.)","","Terbutryn (fl. conc.)",1,"886-50-0",0
"mg/L","D001","Dimethoate","E752","(fl. conc.)","","Dimethoate (fl. conc.)",1,"60-51-5",0
"mg/L","OMET-D","Omethoate (as dimethoate)","E752","(fl. conc.)","","Omethoate (as dimethoate) (fl. conc.)",0,"",0
"mg/L","P017","Prometryne","E752","(fl. conc.)","","Prometryne (fl. conc.)",1,"7287-19-6",0
"mg/L","MU34","Methyl urea; 3-3-(3;4-dichlorophenyl)-1l)-1- [DCPMU]","E752","(fl. conc.)","","Methyl urea; 3-3-(3;4-dichlorophenyl)-1l)-1- [DCPMU] (fl. conc.)",1,"3567-62-2",0
"mg/L","IMID","Imidacloprid (Insecticide/Pesticide)","E752","(fl. conc.)","","Imidacloprid (Insecticide/Pesticide) (fl. conc.)",1,"",0
"mg/L","OMET","Omethoate","E752","(fl. conc.)","","Omethoate (fl. conc.)",1,"1113-02-6",0
"mg/L","F018","Fluazifop-p-butyl","E752","(fl. conc.)","","Fluazifop-p-butyl (fl. conc.)",1,"",0
"mg/L","A026","Ametryn","E752","(fl. conc.)","","Ametryn (fl. conc.)",1,"834-12-8",0
"mg/L","TRIF","Trifloxystrobin","E752","(fl. conc.)","","Trifloxystrobin (fl. conc.)",1,"141517-21-7",0
"mg/L","A004","Alachlor","E752","(fl. conc.)","","Alachlor (fl. conc.)",1,"15972-60-8",0
"mg/L","TRALK","CAS RN: 87820-88-0 Tralkoxydim","E752","(fl. conc.)","","CAS RN: 87820-88-0 Tralkoxydim (fl. conc.)",0,"",0
"mg/L","D010","Diazinon","E752","(fl. conc.)","","Diazinon (fl. conc.)",1,"333-41-5",0
"mg/L","SEO4","selenate SeO4(-2)","E540","(fl. conc.)","","selenate SeO4(-2) (fl. conc.)",1,"14124-68-6",1
"mg/L","SECN","selenocyanate SeCN(-1)","E540","(fl. conc.)","","selenocyanate SeCN(-1) (fl. conc.)",1,"5749-48-4",1
"mg/L","TRINE","CAS RN: 95266-40-3 Trinexapac-ethyl","E752","(fl. conc.)","","CAS RN: 95266-40-3 Trinexapac-ethyl (fl. conc.)",0,"",0
"mg/L","D078","Diuron","E752","(fl. conc.)","","Diuron (fl. conc.)",1,"330-54-1",0
"mg/L","T008","Terbufos","E752","(fl. conc.)","","Terbufos (fl. conc.)",1,"13071-79-9",0
"mg/L","P045","Prometon","E752","(fl. conc.)","","Prometon (fl. conc.)",1,"1610-18-0",0
"mg/L","A003","Aldicarb","E752","(fl. conc.)","","Aldicarb (fl. conc.)",1,"116-06-3",0
"mg/L","B051","Bendiocarb","E752","(fl. conc.)","","Bendiocarb (fl. conc.)",1,"22781-23-3",0
"mg/L","CATP","Chlorantraniliprole","E752","(fl. conc.)","","Chlorantraniliprole (fl. conc.)",1,"",0
"mg/L","P048","Propiconazole","E752","(fl. conc.)","","Propiconazole (fl. conc.)",1,"60207-90-1",0
"mg/L","AZOX","Azoxystrobin","E752","(fl. conc.)","","Azoxystrobin (fl. conc.)",1,"131860-33-8",0
"mg/L","P103","Propachlor","E752","(fl. conc.)","","Propachlor (fl. conc.)",1,"1918-16-7",0
"mg/L","TRIT","Triticonazole","E752","(fl. conc.)","","Triticonazole (fl. conc.)",1,"131983-72-7",0
"mg/L","A016","Atrazine","E752","(fl. conc.)","","Atrazine (fl. conc.)",1,"1912-24-9",0
"mg/L","IMAZA","CAS RN: 81405-85-8 Imazamethabenz-methyl","E752","(fl. conc.)","","CAS RN: 81405-85-8 Imazamethabenz-methyl (fl. conc.)",0,"",0
"mg/L","E011","EPTC","E752","(fl. conc.)","","EPTC (fl. conc.)",0,"",0
"mg/L","TEBU","Tebuthiuron","E752","(fl. conc.)","","Tebuthiuron (fl. conc.)",1,"34014-18-1",0
"mg/L","A008","Azinphos Methyl","E752","(fl. conc.)","","Azinphos Methyl (fl. conc.)",1,"86-50-0",0
"mg/L","AT2H","Atrazine; 2-hydroxy-","E752","(fl. conc.)","","Atrazine; 2-hydroxy- (fl. conc.)",1,"2163-68-0",0
