matrix,items.bottle,items.field.filter,items.preservative,preservative.name,items.analysisGroup,test.label,comments,
water,250mL Plastic,No,None,,General,Bromide,,
water,250mL Plastic,No,None,,General,Chloride,,
water,250mL Plastic,No,None,,General,Fluoride,,
water,250mL Plastic,No,None,,General,Nitrogen: Nitrate & Nitrite,,
water,250mL Plastic,No,None,,General,Nitrogen: Nitrate,,
water,250mL Plastic,No,None,,General,Nitrogen: Nitrite,,
water,250mL Plastic,No,None,,General,Phosphorus: diss. Orth-Phosphate,,
water,250mL Plastic,No,None,,General,Sulphate,,
water,250mL Plastic,No,None,,General,Acidity pH 8.3,,
water,250mL Plastic,No,None,,General,Alkalinity: Phenolphthalein,,
water,250mL Plastic,No,None,,General,Alkalinity Total: pH 4.5,,
water,250mL Plastic,No,None,,General,Colour: True,,
water,250mL Plastic,No,None,,General,pH,,
water,250mL Plastic,No,None,,General,Specific Conductance,,
water,250mL Plastic,No,None,,General,Turbidity,,
water,250mL Plastic,No,None,,General,Residue: Nonfilterable (TSS),,
water,250mL Plastic,No,None,,General,Residue: Filterable (TDS),,
water,250mL Plastic,No,None,,General,Residue: Nonfilterable (Fixed Solids),,
water,250mL Plastic,No,None,,General,Residue: Total Solids,,
water,145mL Plastic,No ,None,,Whole Bottle TSS,Residue: Nonfilterable (TSS - Whole Bottle),,
water,0.5L Plastic,No,None,,BOD,Biochemical Oxygen Demand BOD,,
water,0.5L Plastic,No,None,,BOD,Carb. Biochemical Oxygen Demand (CBOD),,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Nitrogen: Ammonia,,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Nitrogen: Total,,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Nitrogen: Total Organic,,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Phosphorus: Total,,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Nitrogen: Total Kjeldahl,,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Carbon: TOC,,
water,125mL Amber Glass,No,None,,Total Inorganic Carbon,Carbon: TIC,,
water,125mL Amber Glass,No,H?SO?,,Total Nutrients,Chemical Oxygen Demand (COD),,
water,125mL Amber Glass,Yes,H?SO?,,Dissolved Nutrients,Nitrogen: Total Dissolved,,
water,125mL Amber Glass,Yes,H?SO?,,Dissolved Nutrients,Phosphorus: Total Dissolved,,
water,125mL Amber Glass,Yes,H?SO?,,Dissolved Nutrients,Nitrogen: Dissolved Kjeldahl,,
water,125mL Amber Glass,Yes,H?SO?,,Dissolved Nutrients,Carbon: DOC,,
water,125mL Amber Glass,Yes,None,,Dissolved Inorganic Carbon,Carbon: DIC,,
water,125mL Plastic,No,HNO?,,Metals Total,Metal Pkg. HIGH,,
water,125mL Plastic,No,HNO?,,Metals Total,Metal Pkg. LOW,,
water,40mL Glass,No,HCl ,,Mercury Total,LOW,,
water,40mL Glass,No,HCl ,,Mercury Total,HIGH,,
water,40mL Glass,Yes,HCl ,,Mercury Dissolved,LOW,,
water,40mL Glass,Yes,HCl ,,Mercury Dissolved,HIGH,,
water,125mL Plastic,No,HNO?,,Metals Total,Hardness,,
