"permit_id","type","description"
1721,"Authorization","NA"
6603,"Authorization","FRESHWATER FISHERIES SOCIETY OF BC"
1784,"Authorization","GOLD RIVER, VILLAGE OF"
6858,"Authorization","MYRA FALLS MINE LTD."
5123,"Authorization","MOUNT WASHINGTON PACIFIC, ULC MOUNT WASHINGTON ALPINE RESORT"
7008,"Authorization","QUINSAM COAL CORPORATION"
2205,"Authorization","NANAIMO FOREST PRODUCTS LTD."
2626,"Authorization","DAVID ROBERT AND SHEILA DAWN ANN MARIE THOMAS - DBA"
3633,"Authorization","DISTRICT OF LANTZVILLE"
5856,"Authorization","COMOX VALLEY REGIONAL DISTRICT"
1902,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
2708,"Authorization","NANAIMO FOREST PRODUCTS LTD."
96,"Authorization","NANAIMO FOREST PRODUCTS LTD."
1751,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
524,"Authorization","ALBERNI-CLAYOQUOT REGIONAL DISTRICT"
1714,"Authorization","REGIONAL DISTRICT OF NANAIMO"
2047,"Authorization","BRITISH COLUMBIA HYDRO AND POWER AUTHORITY"
2753,"Authorization","TECK METALS LTD."
5309,"Authorization","NA"
71,"Authorization","THE CORPORATION OF THE VILLAGE OF MONTROSE"
1272,"Authorization","MERCER CELGAR PULP LTD. A GENERAL PARTNER OF MERCER CELGAR LIMITED PARTNERSHIP"
291,"Authorization","THE CORPORATION OF THE CITY OF NELSON"
1161,"Authorization","TOWN OF CRESTON"
425,"Authorization","EVR OPERATIONS LIMITED"
5353,"Authorization","EVR OPERATIONS LIMITED"
148,"Authorization","CITY OF KIMBERLEY"
454,"Authorization","NA"
240,"Authorization","DOMTAR INC. SKOOKUMCHUCK PULP"
1203,"Authorization","KLONDIKE SILVER CORP."
280,"Authorization","THE CORPORATION OF THE CITY OF GRAND FORKS"
394,"Authorization","MIDWAY, VILLAGE OF"
253,"Authorization","DISTRICT OF SPARWOOD"
1238,"Authorization","VILLAGE OF NAKUSP"
1853,"Authorization","NA"
5196,"Authorization","NA"
133,"Authorization","THE CORPORATION OF THE VILLAGE OF FRUITVALE"
4750,"Authorization","TECK COAL LIMITED"
2500,"Authorization","THE CORPORATION OF THE VILLAGE OF SALMO"
424,"Authorization","EVR OPERATIONS LIMITED"
4734,"Authorization","NA"
5173,"Authorization","THE OWNERS STRATA PLAN N-21"
6248,"Authorization","EVR OPERATIONS LIMITED"
5193,"Authorization","NA"
17061,"Authorization","PANORAMA MOUNTAIN VILLAGE INC. AND CORIX MULTI-UTILITY SERVICES INC."
415,"Authorization","PACIFIC WOODTECH CANADA HOLDINGS LIMITED"
107517,"Authorization","EVR OPERATIONS LIMITED"
