"Location ID","Name","Type","Comment","Country","State","County","Latitude","Longitude","Horizontal Datum","Horizontal Collection Method","Vertical Datum","Vertical Collection Method","Location Groups","Elevation","Elevation Unit","Standards","EA_Closed Date","EA_EMS When Created","EA_EMS When Updated","EA_EMS Who Created","EA_EMS Who Updated","EA_Established Date","EA_Well Tag ID"
"0155002","FRENCH CR AT SHORELINE OVER PE-4200 OUTFALL","Marine","ON BEACH OVER FRENCH CREEK OUTFALL LINE","","","","49.350600","-124.3592","","1:50,000 scale map","","","4200","","","","","11/1/1996 10:41:27 AM","8/13/2001 1:33:42 PM","Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Judith R. Burke from 10 Vancouver Island, Nanaimo","11/30/1984",""
"0155003","FRENCH CR AT END OF N. BREAKWATER","Marine","","","","","49.349200","-124.3583","","1:50,000 scale map","","","4200","","","","","11/1/1996 10:41:27 AM","8/13/2001 1:33:42 PM","Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Judith R. Burke from 10 Vancouver Island, Nanaimo","11/30/1984",""
"0200088","WEST KETTLE R DNS BEAVERDELL (PE00444)","River, Stream, or Creek","LOGGING BRIDGE 4.1 MILES BELOW BEAVERDELL RIVER MILE 17.0","","","","49.381900","-119.0936","","1:50,000 scale map","","","444","","","","","11/1/1996 10:41:31 AM","7/17/2001 8:46:21 AM","Created by  EMS from 40 Kootenay, Nelson","Updated by  EMS from 40 Kootenay, Nelson","9/18/1990",""
"0200089","WEST KETTLE R @ BEAVERDELL (PE00444)","River, Stream, or Creek","WOOD TRAFFIC BRIDGE AT BEAVERDELL RIVER MILE 21.0","","","","49.436700","-119.0919","","1:50,000 scale map","","","444","","","","","11/1/1996 10:41:31 AM","7/17/2001 8:46:21 AM","Created by  EMS from 40 Kootenay, Nelson","Updated by  EMS from 40 Kootenay, Nelson","9/18/1990",""
"0200540","SALMO RIVER BELOW SALMO S.T.P.","River, Stream, or Creek","SALMO RIVER 200 YDS. DOWNSTREAM OF SALMO S.T.P. OUTFALL","","","","49.176900","-117.2732","","GOAT- 1:20,000 TRIM (NAD83)","","","2500","","","","","11/1/1996 10:41:38 AM","12/3/1998 9:53:27 AM","Created by  EMS from 40 Kootenay, Nelson","Updated by HUGH AULD from 40 Kootenay, Nelson","9/8/1990",""
"0225003","FRUITVALE (PE-133) S.T.P. INFLUENT","In-Plant","INFLUENT SAMPLED FROM MANHOLE 200 FEET UPSTREAM OF TREATMENT PLANT","","","","49.111100","-117.5486","","1:50,000 scale map","","","133","","","","","11/1/1996 10:41:40 AM","3/24/1999 10:41:30 AM","Created by  EMS from 40 Kootenay, Nelson","Updated by HUGH AULD from 40 Kootenay, Nelson","9/7/1990",""
"0260052","COMINCO (PA-2692) NO.3 SULFIDE ELECT. COOL. TOWER VENT","Stack","COOLING TOWER VENT DISCHARGE Z-33ASSOCIATED WITH APPENDIX 09 AND SHOWN IN APPENDIX A-1","","","","49.094400","-117.6542","","1:50,000 scale map","","","2692","","","","","11/1/1996 10:41:44 AM","12/23/1998 1:42:21 PM","Created by  EMS from 40 Kootenay, Nelson","Updated by HUGH AULD from 40 Kootenay, Nelson","9/11/1990",""
"0260071","COMINCO (PA-2691) #6 CRANE AISLE VENT STACK S-53","Stack","#11 TAPPER-SETTLER VENT DISCHARGE ASSOCIATED WITH APPENDIX 11AND SHOWN IN APPENDIX A-2","","","","49.099100","-117.7111","","GOAT- 1:20,000 TRIM (NAD83)","","","2691","","","","","11/1/1996 10:41:45 AM","12/10/1998 2:48:32 PM","Created by  EMS from 40 Kootenay, Nelson","Updated by HUGH AULD from 40 Kootenay, Nelson","9/10/1990",""
"0260074","COMINCO (PA-2691) HOLDING POT COMBUSTION GAS STACK S-50A","Stack","DROSSING PLANT HOLDING POT COMBUSTION GAS STACK DISCHARGEASSOCIATED WITH APPENDIX 16 AND SHOWN IN APPENDIX A-2","","","","49.098600","-117.711","","GOAT- 1:20,000 TRIM (NAD83)","","","2691","","","","","11/1/1996 10:41:45 AM","12/10/1998 2:53:00 PM","Created by  EMS from 40 Kootenay, Nelson","Updated by HUGH AULD from 40 Kootenay, Nelson","9/10/1990",""
"0400433","PE-1654: HILLER C DOWNSTREAM OF WESTERN ACRES","River, Stream, or Creek","LOCATED WHERE HILLER CREEK ENTERS FARM YARD","","","","53.816100","-122.8742","","1:50,000 scale map","","","1654","","","","","11/1/1996 10:42:08 AM","5/9/2005 9:52:01 AM","Created by  EMS from 70 Omineca-Peace, Prince George","Updated by Steve Jenvey from 70 Omineca-Peace, Prince George","8/27/1990",""
