"Location ID","Name","Type","Comment","Country","State","County","Latitude","Longitude","Horizontal Datum","Horizontal Collection Method","Vertical Datum","Vertical Collection Method","Location Groups","Elevation","Elevation Unit","Standards","EA_Closed Date","EA_EMS When Created","EA_EMS When Updated","EA_EMS Who Created","EA_EMS Who Updated","EA_Established Date","EA_Well Tag ID"
"0100020","LILYDALE (PE1721(3)); PRE-AERATION LAGOONS","In-Plant","AFTER OIL & GREASE SEPARATOR PRIOR TO EXTENDED AERATION","","","","48.4292","-123.5378","","1:50,000 scale map","","","1721","","","","","11/1/1996 10:41:14 AM","","Created by  EMS from 10 Vancouver Island, Nanaimo","","8/22/1990",""
"0100022","LILYDALE SOOKE (PE1721); PRETREATMNT EFFLUENT","In-Plant","EFFLUENT PRIOR TO ENTRY INTO THE GREASE TRAP.","","","","48.4269","-123.5389","","1:50,000 scale map","","","1721","","","","","11/1/1996 10:41:14 AM","","Created by  EMS from 10 Vancouver Island, Nanaimo","","8/22/1990",""
"0100141","WESTERN (PE1240); PULP SEWER ""B""","In-Plant","EFFLUENT FROM THE NORTH SEWER ""B""","","","","50.3842","-127.4481","","1:50,000 scale map","","","","","","","","11/1/1996 10:41:14 AM","3/6/2018 11:51:22 AM","Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Jeremy Krogh from 10 Vancouver Island, Nanaimo","11/30/1984",""
"0100144","WESTERN (PE1240); PULP SEWER ""C & F""","In-Plant","AT A POINT ALONG SEWER ""C"" DOWNSTREAM OF SEWER ""F"" JUNCTION","","","","50.3844","-127.4478","","1:50,000 scale map","","","","","","","","11/1/1996 10:41:14 AM","","Created by  EMS from 10 Vancouver Island, Nanaimo","","11/30/1984",""
"0100292","WESTMIN;(PE4077-01) MINE CAMP STP","In-Plant","EFFLUENT FROM SEWAGE TREATMENT PLANT","","","","","","","","","","","","","","","11/1/1996 10:41:15 AM","","Created by  EMS from 10 Vancouver Island, Nanaimo","","11/30/1984",""
"0110000","VICTORIA AIR 1","Air Quality","MINISTRY STATION - 1106 COOK ST. Comments: Created by automated process from ADAMS data.","","","","48.424361","-123.35278","","1:50,000 scale map","","","","30","m","","2/28/1983","3/6/2008 9:31:16 AM","6/9/2016 1:55:55 PM","Created by   from 10 Vancouver Island, Nanaimo","Updated by Sharon Gunter from 10 Vancouver Island, Nanaimo","1/1/1976",""
"0110004","VICTORIA AT GOODWILL IND. BAY ST","Air Quality","ROOF OF GOODWILL INDUSTRY BUILDING AT 220 BAY STREET; VICTORIA","","","","48.4333","-123.3817","","1:50,000 scale map","","","","","","","","11/1/1996 10:41:15 AM","10/5/2020 3:43:33 PM","Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Robert Gibson from 10 Vancouver Island, Nanaimo","11/30/1984",""
"0110030","VICTORIA PAPS 1250 QUADRA ST","Air Quality","RM 222, 1250 QUADRA ST VICTORIA B.C. (MONITOR ON ROOFTOP)","","","","48.4239","-123.3553","","1:50,000 scale map","","","","25","m","","4/2/1998","11/1/1996 10:41:15 AM","5/4/2016 10:02:15 AM","Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Sharon Gunter from 10 Vancouver Island, Nanaimo","11/30/1984",""
"0110031","VICTORIA ROYAL ROADS UNIVERSITY","Air Quality","SHARED STATION - MINISTRY AND UNIVERSITY Comments: Created by automated process from ADAMS data.","","","","48.43","-123.468611","","1:50,000 scale map","","","","1","m","","12/31/2008","3/6/2008 9:31:16 AM","5/27/2015 4:43:59 PM","Created by   from 10 Vancouver Island, Nanaimo","Updated by Sharon Gunter from 10 Vancouver Island, Nanaimo","3/3/1998",""
"0110101","PORT ALICE HOSPITAL","Air Quality","MINISTRY STATION Comments: Created by automated process from ADAMS data.","","","","50.425","-127.479166","","1:50,000 scale map","","","","","","","12/31/1993","3/6/2008 9:31:16 AM","1/28/2010 5:36:01 PM","Created by   from 10 Vancouver Island, Nanaimo","Updated by  EMS from 10 Vancouver Island, Nanaimo","5/1/1990",""
"0110200","GOLD RIVER; GULF BULK STN","Air Quality","300 FEET EAST OF CHIP PILE AT GULF BULK STATION","","","","49.6814","-126.1175","","1:50,000 scale map","","","","","","","","11/1/1996 10:41:15 AM","","Created by  EMS from 10 Vancouver Island, Nanaimo","","11/30/1984",""
"0110251","PORT ALBERNI AT HEALTH UNIT","Air Quality","ROOF OF HEALTH BRANCH OFFICE - 4711 ELIZABETH ST","","","","49.26","-124.8089","","1:50,000 scale map","","","","","","","","11/1/1996 10:41:15 AM","","Created by  EMS from 10 Vancouver Island, Nanaimo","","11/30/1984",""
