"Observed Property ID","Observed Property Descritpion","CAS Number","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Analysis Type","Result Type","Method ID","Method Name","Method Description","Method Source"
"Lead Dissolved (fl. conc.)","Metals - Dissolved; EMS code: PB-D",NA,"Concentration","mg/L",TRUE,"PB-D","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Barium Total (fl. conc.)","Metals - Total; EMS code: BA-T","7440-39-3","Concentration","mg/L",TRUE,"BA-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Barium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: BA-D","7440-39-3","Concentration","mg/L",TRUE,"BA-D","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Copper Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CU-D","7440-50-8","Concentration","mg/L",TRUE,"CU-D","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Magnesium Total (fl. conc.)","Metals - Total; EMS code: MG-T","7439-95-4","Concentration","mg/L",TRUE,"MG-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Iron Dissolved (fl. conc.)","Metals - Dissolved; EMS code: FE-D",NA,"Concentration","mg/L",TRUE,"FE-D","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
