"Method ID","Method Name","Method Description","Method Source","Observed Property ID"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Lead Dissolved (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Barium Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Barium Dissolved (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Copper Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Aluminum Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Zinc Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Copper Dissolved (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Magnesium Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Manganese Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Lead Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Iron Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Iron Dissolved (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Molybdenum Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Zinc Dissolved (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Nickel Dissolved (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Calcium Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Cadmium Total (fl. conc.)"
"0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration","Nickel Total (fl. conc.)"
"0031","ICP","ICP","EMS Migration","Cadmium Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Nickel Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Cobalt Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Selenium Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Zinc Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Lead Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Chromium Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Phosphorus Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Molybdenum Total (mass conc.)"
"0031","ICP","ICP","EMS Migration","Arsenic Total (mass conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Titanium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Bismuth Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Copper Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Zirconium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Aluminum Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Magnesium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Manganese Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Strontium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Molybdenum Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Vanadium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Sodium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Chromium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Magnesium Dissolved (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Manganese Dissolved (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Phosphorus Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Antimony Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Tin Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Barium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Chromium Dissolved (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Cobalt Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Zinc Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Arsenic Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Silicon Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Lead Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Iron Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Iron Dissolved (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Silver Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Sulfur Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Beryllium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Selenium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Cadmium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Calcium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Tellurium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Thallium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Potassium Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Nickel Total (fl. conc.)"
"0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration","Strontium Dissolved (fl. conc.)"
"0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration","Titanium Total (fl. conc.)"
"0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration","Bismuth Total (fl. conc.)"
"0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration","Copper Total (fl. conc.)"
"0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration","Zirconium Total (fl. conc.)"
