"location_id","name","type","comment","country","state","county","latitude","longitude","horizontal_datum","horizontal_collection_method","vertical_datum","vertical_collection_method","location_groups","elevation","elevation_unit","standards","ea_closed_date","ea_ems_when_created","ea_ems_when_updated","ea_ems_who_created","ea_ems_who_updated","ea_established_date","ea_well_tag_id"
"0100020","LILYDALE (PE1721(3)); PRE-AERATION LAGOONS","In-Plant","AFTER OIL & GREASE SEPARATOR PRIOR TO EXTENDED AERATION","","","","48.4292","-123.5378","","1:50,000 scale map","","","1721","","","",NA,1996-11-01 10:41:14,NA,"Created by  EMS from 10 Vancouver Island, Nanaimo","",1990-08-22,""
"0100022","LILYDALE SOOKE (PE1721); PRETREATMNT EFFLUENT","In-Plant","EFFLUENT PRIOR TO ENTRY INTO THE GREASE TRAP.","","","","48.4269","-123.5389","","1:50,000 scale map","","","1721","","","",NA,1996-11-01 10:41:14,NA,"Created by  EMS from 10 Vancouver Island, Nanaimo","",1990-08-22,""
"0100141","WESTERN (PE1240); PULP SEWER ""B""","In-Plant","EFFLUENT FROM THE NORTH SEWER ""B""","","","","50.3842","-127.4481","","1:50,000 scale map","","","","","","",NA,1996-11-01 10:41:14,2018-03-06 11:51:22,"Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Jeremy Krogh from 10 Vancouver Island, Nanaimo",1984-11-30,""
"0100144","WESTERN (PE1240); PULP SEWER ""C & F""","In-Plant","AT A POINT ALONG SEWER ""C"" DOWNSTREAM OF SEWER ""F"" JUNCTION","","","","50.3844","-127.4478","","1:50,000 scale map","","","","","","",NA,1996-11-01 10:41:14,NA,"Created by  EMS from 10 Vancouver Island, Nanaimo","",1984-11-30,""
"0100292","WESTMIN;(PE4077-01) MINE CAMP STP","In-Plant","EFFLUENT FROM SEWAGE TREATMENT PLANT","","","","","","","","","","","","","",NA,1996-11-01 10:41:15,NA,"Created by  EMS from 10 Vancouver Island, Nanaimo","",1984-11-30,""
"0110000","VICTORIA AIR 1","Air Quality","MINISTRY STATION - 1106 COOK ST. Comments: Created by automated process from ADAMS data.","","","","48.424361","-123.35278","","1:50,000 scale map","","","","30","m","",1983-02-28,2008-03-06 09:31:16,2016-06-09 13:55:55,"Created by   from 10 Vancouver Island, Nanaimo","Updated by Sharon Gunter from 10 Vancouver Island, Nanaimo",1976-01-01,""
"0110004","VICTORIA AT GOODWILL IND. BAY ST","Air Quality","ROOF OF GOODWILL INDUSTRY BUILDING AT 220 BAY STREET; VICTORIA","","","","48.4333","-123.3817","","1:50,000 scale map","","","","","","",NA,1996-11-01 10:41:15,2020-10-05 15:43:33,"Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Robert Gibson from 10 Vancouver Island, Nanaimo",1984-11-30,""
"0110030","VICTORIA PAPS 1250 QUADRA ST","Air Quality","RM 222, 1250 QUADRA ST VICTORIA B.C. (MONITOR ON ROOFTOP)","","","","48.4239","-123.3553","","1:50,000 scale map","","","","25","m","",1998-04-02,1996-11-01 10:41:15,2016-05-04 10:02:15,"Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by Sharon Gunter from 10 Vancouver Island, Nanaimo",1984-11-30,""
"0110031","VICTORIA ROYAL ROADS UNIVERSITY","Air Quality","SHARED STATION - MINISTRY AND UNIVERSITY Comments: Created by automated process from ADAMS data.","","","","48.43","-123.468611","","1:50,000 scale map","","","","1","m","",2008-12-31,2008-03-06 09:31:16,2015-05-27 16:43:59,"Created by   from 10 Vancouver Island, Nanaimo","Updated by Sharon Gunter from 10 Vancouver Island, Nanaimo",1998-03-03,""
"0110101","PORT ALICE HOSPITAL","Air Quality","MINISTRY STATION Comments: Created by automated process from ADAMS data.","","","","50.425","-127.479166","","1:50,000 scale map","","","","","","",1993-12-31,2008-03-06 09:31:16,2010-01-28 17:36:01,"Created by   from 10 Vancouver Island, Nanaimo","Updated by  EMS from 10 Vancouver Island, Nanaimo",1990-05-01,""
