"location_id","name","type","comment","country","state","county","latitude","longitude","horizontal_datum","horizontal_collection_method","vertical_datum","vertical_collection_method","location_groups","elevation","elevation_unit","standards","ea_closed_date","ea_ems_when_created","ea_ems_when_updated","ea_ems_who_created","ea_ems_who_updated","ea_established_date","ea_well_tag_id"
"E230279","THOMPSON R U/S ASHCROFT STP","River, Stream, or Creek","From Ashcroft STP, go down past CP tracks and down embankment to river 30 m U/S of Ashcroft STP outfall.","","","","50.7102","-121.2831","","GOAT- 1:20,000 TRIM (NAD83)","","","","","","",NA,1998-01-22 16:31:22,NA,"Created by Bob Grace from 30 Southern Region, Kamloops","",1998-01-22,""
"E230280","THOMPSON R D/S #1","River, Stream, or Creek","Go to Ashcroft STP, go across CP tracks and down embankment, sample about 60 m downstream of Ashcroft STP outfall at first rocky bar.","","","","50.7078","-121.2836","","GOAT- 1:20,000 TRIM (NAD83)","","","","","","",NA,1998-01-22 16:33:58,1998-01-30 08:51:33,"Created by Bob Grace from 30 Southern Region, Kamloops","Updated by Bob Grace from 30 Southern Region, Kamloops",1998-01-22,""
"E230281","THOMPSON R D/S #2","River, Stream, or Creek","Go to Ashcroft STP, follow CP tracks south to startof bar on inside of first corner, sample off bar.","","","","50.7035","-121.2895","","GOAT- 1:20,000 TRIM (NAD83)","","","","","","",NA,1998-01-22 16:35:49,1998-01-30 08:52:21,"Created by Bob Grace from 30 Southern Region, Kamloops","Updated by Bob Grace from 30 Southern Region, Kamloops",1998-01-22,""
"E230282","THOMPSON R D/S #3","River, Stream, or Creek","Go to Ashcroft STP follow CP tracks south to tip of first inside bend oppostite north end CN tunnel, sample at tip of bend in big rocks.","","","","50.6992","-121.3024","","GOAT- 1:20,000 TRIM (NAD83)","","","","","","",NA,1998-01-22 16:37:38,1998-01-30 08:53:58,"Created by Bob Grace from 30 Southern Region, Kamloops","Updated by Bob Grace from 30 Southern Region, Kamloops",1998-01-22,""
"E230283","THOMPSON R D/S #4","River, Stream, or Creek","Go to Ashcroft STP, follow CP tracks south around big bend and sample off bar at tip of outside bend, opposite black canyon.  Just past 2nd cut in tracks.","","","","50.6857","-121.2958","","GOAT- 1:20,000 TRIM (NAD83)","","","","","","",NA,1998-01-22 16:39:31,1998-01-30 08:55:24,"Created by Bob Grace from 30 Southern Region, Kamloops","Updated by Bob Grace from 30 Southern Region, Kamloops",1998-01-22,""
"E230298","FRASER R U/S SETON R","River, Stream, or Creek","Sample Fraser R on west bank just upstream of highway bridge and several hundred m D/S of STP","","","","50.684","-121.9314","","GOAT- 1:20,000 TRIM (NAD83)","","","92","","","",NA,1998-01-23 14:43:37,NA,"Created by Bob Grace from 30 Southern Region, Kamloops","",1998-01-23,""
"E230299","FRASER R 2 KM D/S LILLOOET STP","River, Stream, or Creek","Sample Fraser R take??","","","","50.6881","-121.9286","","GOAT- 1:20,000 TRIM (NAD83)","","","92","","","",NA,1998-01-23 14:45:14,2001-02-07 11:34:29,"Created by Bob Grace from 30 Southern Region, Kamloops","Updated by   from 30 Southern Region, Kamloops",1998-01-23,""
"E230300","MORRISON CREEK DOWNSTREAM OF PASKA LAKE","River, Stream, or Creek","Upstream of bridge just downstream of Paska L.","","","","50.5157","-120.6658","","GOAT- 1:20,000 TRIM (NAD83)","","","","","","",NA,1998-01-23 15:50:36,1998-02-24 11:07:27,"Created by Marg Sidney from 30 Southern Region, Kamloops","Updated by Marg Sidney from 30 Southern Region, Kamloops",1998-01-23,""
"E230378","Q COAL YELLOW PIPELINE","In-Plant","Yellow pipeline from sump near adit to pond 4 .","","","","50","-126","","1:50,000 scale map","","","","50","m","",NA,1998-01-27 16:39:55,NA,"Created by Wayne White from 10 Vancouver Island, Nanaimo","",1998-01-27,""
"E230379","Q COAL BLOCK 242 COLLECTION POND","In-Plant","","","","","50","-126","","1:50,000 scale map","","","","100","m","",NA,1998-01-27 16:50:24,NA,"Created by Wayne White from 10 Vancouver Island, Nanaimo","",1998-01-27,""
"E230380","TOWNSITE DUSTFALL CANISTER","Air Quality","Located at Centre of Townsite","","","","55","-120","","1:50,000 scale map","","","6683","","","",NA,1998-01-28 08:44:32,2000-03-08 14:53:56,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by Cameron Eggleston from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230381","DUSTFALL AIRSTRIP CANISTER","Air Quality","Located in Industrial subdivision which is across from Fladbed Airstrip","","","","55","-120","","1:50,000 scale map","","","6683","","","",NA,1998-01-28 08:48:13,2000-03-08 14:54:15,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by Cameron Eggleston from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230382","DUSTFALL CAMPSITE CANISTER","Air Quality","Located at old 350-man revegetaed campsite","","","","55","-120","","1:50,000 scale map","","","6683","","","",NA,1998-01-28 08:51:48,2000-03-08 14:56:26,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by Cameron Eggleston from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230383","INDUSTRIAL PARK HIVOL","Air Quality","Located at Industrial Park which is accross from Flatbed Airstrip","","","","55","-120","","1:50,000 scale map","","","6683","","","",NA,1998-01-28 08:53:38,2000-03-08 14:56:46,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by Cameron Eggleston from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230384","TUMBLER RIDGE HIVOL","Air Quality","Located at Tumbler Ridge --------------Health Unit","","","","55","-120","","1:50,000 scale map","","","6683","","","",NA,1998-01-28 08:55:44,2000-03-08 14:57:33,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by Cameron Eggleston from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230417","TECK MESA PE6540 - WOLVERINE 4 REC. ENV","River, Stream, or Creek","Wolverine River - 9 Km. southwest of Perry Cr. Bridge.No longer included in the permit.Updated May 24, 2017 - Alan Gibson","","","","55.0324","-121.039","","1:50,000 scale map","","","6540","","","",NA,1998-01-28 15:20:24,2023-02-07 11:17:05,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by  EMS from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230418","TECK MESA PE6540 - WOLVERINE 5 REC. ENV","River, Stream, or Creek","Wolverine River - downstream of Mesa C Pond.No longer included in the permit.Updated May 24, 2017 - Alan Gibson","","","","55.0324","-121.039","","1:50,000 scale map","","","6540","","","",NA,1998-01-28 15:21:38,2023-02-07 11:17:05,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by  EMS from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230419","TECK MESA PE6540 - WOLVERINE 6 REC. ENV","River, Stream, or Creek","Wolverine River - 450 m downstream of Mast Creek.No longer included in the permit.Updated May 24, 2017 - Alan Gibson","","","","55.0324","-121.039","","Geographic Positioning System (NAD83)","","","6540","","","",NA,1998-01-28 15:23:50,2023-02-07 11:17:05,"Created by Cameron Eggleston from 70 Omineca-Peace, Prince George","Updated by  EMS from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230420","HGHLND GLN (PE13631) DOMESTIC WATER WELL #2","Well","","","","","58.81","-125.7558","","1:50,000 scale map","","","13631","","","",NA,1998-01-28 16:11:08,2021-02-23 17:41:53,"Created by TERRY SAWCHUK from 70 Omineca-Peace, Prince George","Updated by  EMS from 70 Omineca-Peace, Prince George",1998-01-28,""
"E230437","SUMMERLAND; PE-13627; STP - OUTFALL DISCHARGE TO OKANAGAN LAKE","Outfall","Effluent monitoring and discharge from the outfall to Okanagan Lake.  Diffuser is located at 40 m depth, 910 metres northeast of the private residence (See notes tab).","","","","49.5828","-119.631","","1:50,000 scale map","","","13627","","","",NA,1998-01-29 09:47:02,2021-05-07 16:35:12,"Created by ROSE GUNOFF from 80 Southern Region, Penticton","Updated by Jeremy Krogh from 80 Southern Region, Penticton",1998-01-29,""
"E230439","SUMMERLAND; PE-13627; STP - INFLUENT MONITORING","In-Plant","Monitoring site at the headworks of the STP to monitor influent","","","","49.5775","-119.6406","","1:50,000 scale map","","","13627","","","",NA,1998-01-29 09:52:17,2001-07-17 09:04:19,"Created by ROSE GUNOFF from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton",1998-01-29,""
"E230440","SUMMERLAND; PE-13627; STP - SLUDGE MONITORING","In-Plant","Monitoring site at STP to sample sludge quality","","","","49.5774","-119.6388","","1:50,000 scale map","","","13627","","","",NA,1998-01-29 09:59:07,2024-02-05 14:34:50,"Created by ROSE GUNOFF from 80 Southern Region, Penticton","Updated by Robert Gibson from 80 Southern Region, Penticton",1998-01-29,""
"E230441","Q COAL 3 SOUTH PIT SEEP","Seepage or Seepage Pools","A small seepage below the low end of pit 3 south.","","","","50","-126","","1:50,000 scale map","","","","100","m","",NA,1998-01-29 12:38:02,NA,"Created by Wayne White from 10 Vancouver Island, Nanaimo","",1998-01-29,""
"E230541","PE-5594  5 DRY KILNS condensate discharge","Outfall","% kilns condensate discharge to 3 rock drains","","","","49.3383","-117.7414","","GOAT- 1:20,000 TRIM (NAD83)","","","5594","","","",NA,1998-02-09 10:44:44,2022-04-15 12:13:58,"Created by HUGH AULD from 40 Kootenay, Nelson","Updated by Database Link for EMA from 40 Kootenay, Nelson",1998-02-09,""
"E230543","COLBORNE RIVER","River, Stream, or Creek","collect water quantity and quality (temp and turbidity) data for implementation of forest practice code and evaluation of timber harvesting impacts.","","","","55.0569","-122.6516","","1:50,000 scale map","","","","","","",NA,1998-02-09 10:45:47,2007-08-21 16:18:59,"Created by   from 70 Omineca-Peace, Prince George","Updated by Bruce Boyd from 70 Omineca-Peace, Prince George",1998-02-09,""
"E230557","TELKWA","Air Quality","LOCATED ON SPORTS FIELD IN THE VILLAGE OF TELKWA NEAR THE #1 FIREHALL Comments: Closed Teom & Sharp May 8, 2015","","","","54.691482","-127.054334","","Geographic Positioning System (Datum not known)","","","","514","m","",NA,1998-02-09 13:55:35,2015-07-10 10:46:50,"Created by Sharon Gunter from 60 Skeena","Updated by Jessica Byers from 60 Skeena",1998-02-09,""
"E230579","MAIN ZONE PIT WATER HUCKLEBERRY PE-14483","Seepage or Seepage Pools","","","","","53.65","-127.25","","Geographic Positioning System (Datum not known)","","","14483","","","",NA,1998-02-10 09:40:21,1998-09-02 13:13:07,"Created by   from 60 Skeena","Updated by   from 60 Skeena",1997-09-11,""
"E230581","AFTON MINES (PE-3904) SPRING 21","Spring or Hot Spring","An underground spring that runs into Northwest seepage pond.","","","","50.6544","-120.5415","","1:50,000 scale map","","","3904","","","",NA,1998-02-10 15:38:20,2000-02-18 09:46:27,"Created by   from 30 Southern Region, Kamloops","Updated by Bob Grace from 30 Southern Region, Kamloops",1998-02-10,""
"E230582","AKOLKOLEX POND AT SPRING","Seepage or Seepage Pools","At the groundwater channel prior to entering the pond","","","","50.5449","-117.5252","","1:50,000 scale map","","","","","","",NA,1998-02-10 18:09:44,1998-05-12 15:33:39,"Created by   from 40 Kootenay, Nelson","Updated by   from 40 Kootenay, Nelson",1998-02-10,""
"E230584","AKOLKOLEX POND TRIBUTARY","River, Stream, or Creek","Where the diverted surface water source enters the pond","","","","50.5449","-117.5252","","1:50,000 scale map","","","","","","",NA,1998-02-10 18:22:01,1998-05-11 16:08:47,"Created by   from 40 Kootenay, Nelson","Updated by   from 40 Kootenay, Nelson",1998-02-10,""
"E230585","AKOLKOLEX POND AT OUTLET","River, Stream, or Creek","Where the outlet channel leaves the pond","","","","50.5449","-117.5252","","1:50,000 scale map","","","","","","",NA,1998-02-10 18:23:51,1998-02-10 18:26:44,"Created by   from 40 Kootenay, Nelson","Updated by   from 40 Kootenay, Nelson",1998-02-10,""
"E230586","AKOLKOLEX POND U/S  RIVER CONFLUENCE","River, Stream, or Creek","On the outlet channel upstream of where it enters the Akolkolex River","","","","50.5449","-117.5252","","1:50,000 scale map","","","","","","",NA,1998-02-10 18:24:56,1998-05-14 09:24:59,"Created by   from 40 Kootenay, Nelson","Updated by   from 40 Kootenay, Nelson",1998-02-10,""
"E230617","AINSWORTH 100 MILE","Air Quality","CLEARING ABOVE AINSWORTH LUMBER (100 MILE HOUSE OPERATIONS) `BONEYARD` - UPSLOPE AND WEST OF THE MILL MAIN OFFICE","","","","51.3911","-121.2155","","Geographic Positioning System (Datum not known)","","","","1063","m","",NA,1998-02-13 15:31:09,2017-07-13 13:41:42,"Created by Sharon Gunter from 50 Cariboo, Williams Lake","Updated by  EMS from 50 Cariboo, Williams Lake",1998-02-13,""
