"location_id","name","type","comment","country","state","county","latitude","longitude","horizontal_datum","horizontal_collection_method","vertical_datum","vertical_collection_method","location_groups","elevation","elevation_unit","standards","ea_closed_date","ea_ems_when_created","ea_ems_when_updated","ea_ems_who_created","ea_ems_who_updated","ea_established_date","ea_well_tag_id"
"E212958","LAVINGTON PLANER MILL LTD.LAVINGTON-BURNER","Stack","WOOD WASTE BURNER Comments:   LEGAL DESCRIPTION -- SOUTHERLY 10 CH. N.W. 1/4 SEC. 24 T.P. 6 MEASURED ALONG THE WEST AND EAST BOUNDARY THEREOF EXCEPT PLANS 14190 AND 15864,  MUNICIPALITY OF COLDSTREAM","","","","50.2315","-119.1004","","1:50,000 scale map","","","2001","","","",NA,1996-11-01 10:50:20,2001-07-17 08:55:07,"Created by  EMS from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton",1990-09-22,""
"E212961","POPE & TALBOT GRD FRKS (PA 1951) WOOD WASTE BURNER","Stack","","","","","49.03","-118.43","","1:50,000 scale map","","","1951","","","",NA,1996-11-01 10:50:20,2005-03-17 16:21:02,"Created by  EMS from 80 Southern Region, Penticton","Updated by Mike Reiner from 80 Southern Region, Penticton",1990-09-22,""
"E212972","LAVINGTON PLANER MILL LTD.LAV-SHAVING CYCLONE @ TRANSFER PT.","Stack","PLANER SHAVINGS CYCLONE AT TRANSFER POINT Comments:   LEGAL DESCRIPTION -- SOUTHERLY 10 CH. N.W. 1/4 SEC. 24 T.P. 6 MEASURED ALONG THE WEST AND EAST BOUNDARY THEREOF EXCEPT PLANS 14190 AND 15864, MUNICIPALITY OF COLDSTREAM","","","","49","-119.09","","1:50,000 scale map","","","2001","","","",NA,1996-11-01 10:50:21,2005-03-17 16:26:54,"Created by  EMS from 80 Southern Region, Penticton","Updated by Mike Reiner from 80 Southern Region, Penticton",1990-09-22,""
"E212973","LAVINGTON PLANER MILL LTD.LAV-SHAVING CYCLONE @ STORAGE BINS","Stack","PLANER SHAVINGS CYCLONE OF STORAGE BINS Comments:   LEGAL DESCRIPTION -- SOUTHERLY 10 CH. N.W. 1/4 SEC. 24 T.P. 6 MEASURED ALONG THE WEST AND EAST BOUNDARY THEREOF EXCEPT PLANS 14190 AND 15864, MUNICIPALITY OF COLDSTREAM","","","","50.23","-119.09","","1:50,000 scale map","","","2001","","","",NA,1996-11-01 10:50:21,2005-03-17 16:27:43,"Created by  EMS from 80 Southern Region, Penticton","Updated by Mike Reiner from 80 Southern Region, Penticton",1990-09-22,""
"E212976","MASCOT GOLD MINES LTD-ORE CRUSHING&SCREENING","Stack","CORONA - CRUSHING & SCREENING VENTS","","","","49.373","-120.0167","","1:50,000 scale map","","","7612","","","",1997-03-10,1996-11-01 10:50:21,2001-07-17 08:55:13,"Created by  EMS from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton",1990-09-23,""
"E212977","MASCOT GOLD MINES LTD REVERB FURNACE","Stack","CORONA - REVERBERATORY FURNACE VENT","","","","49.373","-120.0167","","1:50,000 scale map","","","7612","","","",1997-03-10,1996-11-01 10:50:21,2005-03-22 11:11:27,"Created by  EMS from 80 Southern Region, Penticton","Updated by Mike Reiner from 80 Southern Region, Penticton",1990-09-23,""
"E212978","MASCOT GOLD MINES LTD.-  LIME SILO VENT","Stack","CORONA - LIME SILO VENT","","","","49.373","-120.0167","","1:50,000 scale map","","","7612","","","",1997-03-10,1996-11-01 10:50:21,2001-07-17 09:02:30,"Created by  EMS from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton",1990-09-23,""
"E212979","MASCOT GOLD MINES LTD. CYANIDE MIX TANK VENT","Stack","CORONA -- CYANIDE MIXING TANK VENT","","","","49.373","-120.0167","","1:50,000 scale map","","","7612","","","",1997-03-10,1996-11-01 10:50:21,2001-07-17 08:55:14,"Created by  EMS from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton",1990-09-23,""
"E212980","MASCOT GOLD MINES LTD. LAB ROOM VENT (BUCKING RM)","Stack","CORONA - LABORATORY ROOM VENTCORONA - LABORATORY ROOM VENT","","","","49.373","-120.0167","","1:50,000 scale map","","","7612","","","",1997-03-10,1996-11-01 10:50:21,2001-07-17 08:55:14,"Created by  EMS from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton",1990-09-23,""
"E212981","MASCOT GOLD MINES LTD. LAB FUME HOOD","Stack","CORONA - LABORATORY FUME HOOD VENTSCORONA - LABORATORY FUME HOOD VENTS","","","","49.373","-120.0167","","1:50,000 scale map","","","7612","","","",NA,1996-11-01 10:50:21,2005-03-22 11:12:18,"Created by  EMS from 80 Southern Region, Penticton","Updated by Mike Reiner from 80 Southern Region, Penticton",1990-09-23,""
