"ID","NAME","Location ID","Location Name","LATITUDE","LONGITUDE","Comments","First Sample","Last Sample","Samples","Results"
"479","PERMIT 3678","E213525","TERASEN PE-03678 TANK FARM EFFLUENT (WEST)","49.288900","122.956600","3 EMS locations identified in 2024 draft permit Created by Timothy Gray on 2025-07-15","1/8/2015","1/19/2026 11:00:00 AM","674","10255"
"479","PERMIT 3678","E331694","FORESHORE WTP C12","49.289167","122.954444","3 EMS locations identified in 2024 draft permit Created by Timothy Gray on 2025-07-15","12/3/2024 10:19:00 AM","2/8/2026 11:05:00 AM","63","1636"
"479","PERMIT 3678","E331695","WEST PERMITTED OUTFALL","49.288476","122.957288","3 EMS locations identified in 2024 draft permit Created by Timothy Gray on 2025-07-15","12/3/2024 10:43:00 AM","5/20/2025 10:25:00 AM","22","682"
"478","TSOLUM 2025","0127620","TSOLUM RIVER AT FARNHAM RD BRIDGE","49.755800","125.103600"," Created by Rosie Barlak on 2025-06-18","5/20/1971","12/1/2025 10:25:00 AM","455","13606"
"478","TSOLUM 2025","0127621","TSOLUM RIVER U/S PUNTLEDGE RIVER","49.698100","124.991800"," Created by Rosie Barlak on 2025-06-18","9/5/1979 1:45:00 PM","12/1/2025 11:50:00 AM","227","6790"
"478","TSOLUM 2025","E207826","TSOLUM RIVER BELOW MUREX CRK","49.808700","125.194800"," Created by Rosie Barlak on 2025-06-18","5/16/1989 7:30:00 PM","3/29/2022 10:20:00 AM","2466","77676"
"478","TSOLUM 2025","E255693","TSOLUM RIVER UPSTREAM OF HEADQUARTERS CREEK","49.771200","125.121000"," Created by Rosie Barlak on 2025-06-18","5/11/2004 10:20:00 AM","12/1/2025 9:50:00 AM","71","2997"
"478","TSOLUM 2025","E280016","TSOLUM RIVER NEAR COURTENAY","49.707220","125.011390"," Created by Rosie Barlak on 2025-06-18","3/28/2019 9:38:00 AM","2/9/2026 11:30:00 AM","99","2099"
"478","TSOLUM 2025","E315790","TSOLUM RIVER U/S PORTUGUESE CREEK","49.714750","125.018561"," Created by Rosie Barlak on 2025-06-18","3/28/2019 10:52:00 AM","12/1/2025 11:00:00 AM","49","606"
"478","TSOLUM 2025","E315794","PORTUGUESE CREEK U/S OF TSOLUM RIVER","49.721100","125.009211"," Created by Rosie Barlak on 2025-06-18","3/28/2019 12:32:00 PM","12/1/2025 11:20:00 AM","50","706"
